time,lat,lon,tmax,tmin
1951-01-01,18.5,73.5,28.09000015258789,17.25
1951-01-02,18.5,73.5,28.6299991607666,16.719999313354492
1951-01-03,18.5,73.5,29.15999984741211,15.470000267028809
1951-01-04,18.5,73.5,29.020000457763672,15.430000305175781
1951-01-05,18.5,73.5,28.770000457763672,15.010000228881836
1951-01-06,18.5,73.5,28.049999237060547,15.600000381469727
1951-01-07,18.5,73.5,28.450000762939453,15.4399995803833
1951-01-08,18.5,73.5,28.309999465942383,15.399999618530273
1951-01-09,18.5,73.5,29.510000228881836,15.010000228881836
1951-01-10,18.5,73.5,29.829999923706055,14.640000343322754
1951-01-11,18.5,73.5,28.780000686645508,15.460000038146973
1951-01-12,18.5,73.5,29.139999389648438,15.25
1951-01-13,18.5,73.5,28.420000076293945,14.289999961853027
1951-01-14,18.5,73.5,28.360000610351562,15.729999542236328
1951-01-15,18.5,73.5,28.68000030517578,15.680000305175781
1951-01-16,18.5,73.5,27.84000015258789,14.989999771118164
1951-01-17,18.5,73.5,26.780000686645508,14.800000190734863
1951-01-18,18.5,73.5,29.209999084472656,16.200000762939453
1951-01-19,18.5,73.5,29.729999542236328,17.229999542236328
1951-01-20,18.5,73.5,28.219999313354492,14.729999542236328
1951-01-21,18.5,73.5,27.899999618530273,14.079999923706055
1951-01-22,18.5,73.5,29.75,14.960000038146973
1951-01-23,18.5,73.5,29.690000534057617,15.829999923706055
1951-01-24,18.5,73.5,29.889999389648438,16.93000030517578
1951-01-25,18.5,73.5,29.25,15.930000305175781
1951-01-26,18.5,73.5,29.270000457763672,15.739999771118164
1951-01-27,18.5,73.5,30.219999313354492,15.789999961853027
1951-01-28,18.5,73.5,30.850000381469727,15.09000015258789
1951-01-29,18.5,73.5,30.299999237060547,14.789999961853027
1951-01-30,18.5,73.5,29.979999542236328,16.420000076293945
1951-01-31,18.5,73.5,28.719999313354492,15.09000015258789
1951-02-01,18.5,73.5,27.969999313354492,13.529999732971191
1951-02-02,18.5,73.5,27.3700008392334,13.039999961853027
1951-02-03,18.5,73.5,28.25,13.329999923706055
1951-02-04,18.5,73.5,28.56999969482422,14.970000267028809
1951-02-05,18.5,73.5,28.520000457763672,14.380000114440918
1951-02-06,18.5,73.5,28.229999542236328,13.479999542236328
1951-02-07,18.5,73.5,28.8700008392334,15.59000015258789
1951-02-08,18.5,73.5,31.56999969482422,18.389999389648438
1951-02-09,18.5,73.5,32.599998474121094,17.959999084472656
1951-02-10,18.5,73.5,31.469999313354492,17.459999084472656
1951-02-11,18.5,73.5,30.549999237060547,16.5
1951-02-12,18.5,73.5,29.3799991607666,16.170000076293945
1951-02-13,18.5,73.5,30.90999984741211,16.84000015258789
1951-02-14,18.5,73.5,32.119998931884766,17.399999618530273
1951-02-15,18.5,73.5,31.940000534057617,15.819999694824219
1951-02-16,18.5,73.5,31.190000534057617,15.550000190734863
1951-02-17,18.5,73.5,32.25,16.149999618530273
1951-02-18,18.5,73.5,32.9900016784668,16.020000457763672
1951-02-19,18.5,73.5,31.739999771118164,16.200000762939453
1951-02-20,18.5,73.5,32.33000183105469,16.18000030517578
1951-02-21,18.5,73.5,33.08000183105469,16.450000762939453
1951-02-22,18.5,73.5,33.880001068115234,17.5
1951-02-23,18.5,73.5,33.150001525878906,17.540000915527344
1951-02-24,18.5,73.5,32.869998931884766,17.510000228881836
1951-02-25,18.5,73.5,32.41999816894531,17.5
1951-02-26,18.5,73.5,33.0099983215332,17.809999465942383
1951-02-27,18.5,73.5,32.52000045776367,18.049999237060547
1951-02-28,18.5,73.5,32.970001220703125,18.280000686645508
1951-03-01,18.5,73.5,33.16999816894531,20.489999771118164
1951-03-02,18.5,73.5,34.220001220703125,19.670000076293945
1951-03-03,18.5,73.5,35.04999923706055,19.290000915527344
1951-03-04,18.5,73.5,34.220001220703125,18.75
1951-03-05,18.5,73.5,33.65999984741211,18.969999313354492
1951-03-06,18.5,73.5,33.7599983215332,19.65999984741211
1951-03-07,18.5,73.5,34.33000183105469,20.329999923706055
1951-03-08,18.5,73.5,36.06999969482422,20.959999084472656
1951-03-09,18.5,73.5,34.4900016784668,20.959999084472656
1951-03-10,18.5,73.5,33.54999923706055,20.829999923706055
1951-03-11,18.5,73.5,33.95000076293945,20.170000076293945
1951-03-12,18.5,73.5,33.81999969482422,20.399999618530273
1951-03-13,18.5,73.5,33.84000015258789,21.34000015258789
1951-03-14,18.5,73.5,34.209999084472656,21.40999984741211
1951-03-15,18.5,73.5,34.4900016784668,22.1299991607666
1951-03-16,18.5,73.5,34.41999816894531,21.459999084472656
1951-03-17,18.5,73.5,34.41999816894531,20.719999313354492
1951-03-18,18.5,73.5,34.36000061035156,20.06999969482422
1951-03-19,18.5,73.5,33.75,19.790000915527344
1951-03-20,18.5,73.5,32.91999816894531,19.770000457763672
1951-03-21,18.5,73.5,32.33000183105469,19.799999237060547
1951-03-22,18.5,73.5,31.899999618530273,18.690000534057617
1951-03-23,18.5,73.5,33.47999954223633,18.770000457763672
1951-03-24,18.5,73.5,33.810001373291016,18.700000762939453
1951-03-25,18.5,73.5,32.29999923706055,20.280000686645508
1951-03-26,18.5,73.5,29.3799991607666,18.729999542236328
1951-03-27,18.5,73.5,31.200000762939453,18.959999084472656
1951-03-28,18.5,73.5,31.420000076293945,20.329999923706055
1951-03-29,18.5,73.5,32.45000076293945,20.5
1951-03-30,18.5,73.5,31.81999969482422,21.270000457763672
1951-03-31,18.5,73.5,31.260000228881836,18.200000762939453
1951-04-01,18.5,73.5,30.65999984741211,18.34000015258789
